type,trialNr,desMatNr,taskID,runNr,duration,jitter,nextStageAt,onSet,eventNext,responseInvert,daytime,stageData,customEvents
start,0,1,intro,NaN,NaN,NaN,NaN,3.16e-05,keypress,0,NaN,,
instruction,0,1,intro,NaN,NaN,NaN,NaN,1.5577025,keypress,0,12-Dec-2022 09:32:31,,
wait,0,1,intro,NaN,1,NaN,NaN,2.2038798,time,0,12-Dec-2022 09:32:31,,
fixation,1,9,1,1,1,NaN,1,7.74e-05,time,0,12-Dec-2022 09:32:33,,
cue,1,9,1,1,3,NaN,4,1.0174001,time,0,12-Dec-2022 09:32:34,,
fixation,1,9,1,1,1,NaN,5,4.019478,time,0,12-Dec-2022 09:32:37,,
task,1,9,1,1,3,NaN,5.8572227,5.0167324,keytrigger,0,12-Dec-2022 09:32:38,,
response,1,9,1,1,3,NaN,8.8572227,5.8573538,time,0,12-Dec-2022 09:32:38,,
buffer,1,9,1,1,1,NaN,12,8.8658938,time,0,12-Dec-2022 09:32:41,,
fixation,2,4,1,1,1,NaN,13,12.017411,time,0,12-Dec-2022 09:32:45,,
cue,2,4,1,1,3,NaN,16,13.0159077,time,0,12-Dec-2022 09:32:46,,
fixation,2,4,1,1,1,NaN,17,16.0157298,time,0,12-Dec-2022 09:32:49,,
task,2,4,1,1,3,NaN,18.255111,17.0157433,keytrigger,0,12-Dec-2022 09:32:50,,
response,2,4,1,1,3,NaN,21.255111,18.2553043,time,0,12-Dec-2022 09:32:51,,
buffer,2,4,1,1,1,NaN,24,21.2640486,time,0,12-Dec-2022 09:32:54,,
fixation,3,2,1,1,1,NaN,25,24.0162423,time,0,12-Dec-2022 09:32:57,,
cue,3,2,1,1,3,NaN,28,25.0151331,time,0,12-Dec-2022 09:32:58,,
fixation,3,2,1,1,1,NaN,29,28.0153612,time,0,12-Dec-2022 09:33:01,,
task,3,2,1,1,3,NaN,29.6987266,29.014277,keytrigger,0,12-Dec-2022 09:33:02,,
response,3,2,1,1,3,NaN,32.6987266,29.6989763,time,0,12-Dec-2022 09:33:02,,
buffer,3,2,1,1,1,NaN,36,32.7137396,time,0,12-Dec-2022 09:33:05,,
fixation,4,8,1,1,1,NaN,37,36.0143462,time,0,12-Dec-2022 09:33:09,,
cue,4,8,1,1,3,NaN,40,37.0161865,time,0,12-Dec-2022 09:33:10,,
fixation,4,8,1,1,1,NaN,41,40.0147486,time,0,12-Dec-2022 09:33:13,,
task,4,8,1,1,3,NaN,41.6807298,41.0144256,keytrigger,0,12-Dec-2022 09:33:14,,
response,4,8,1,1,3,NaN,44.6807298,41.680873,time,0,12-Dec-2022 09:33:14,,
buffer,4,8,1,1,1,NaN,48,44.6965813,time,0,12-Dec-2022 09:33:17,,
fixation,5,5,1,1,1,NaN,49,48.0128138,time,0,12-Dec-2022 09:33:21,,
cue,5,5,1,1,3,NaN,52,49.0141176,time,0,12-Dec-2022 09:33:22,,
fixation,5,5,1,1,1,NaN,53,52.0131534,time,0,12-Dec-2022 09:33:25,,
task,5,5,1,1,3,NaN,56,53.0132484,keytrigger,0,12-Dec-2022 09:33:26,,
response,5,5,1,1,3,NaN,59,56.01391,time,0,12-Dec-2022 09:33:29,,
buffer,5,5,1,1,1,NaN,60,59.0123563,time,0,12-Dec-2022 09:33:32,,
fixation,6,7,1,1,1,NaN,61,60.0134138,time,0,12-Dec-2022 09:33:33,,
cue,6,7,1,1,3,NaN,64,61.0122205,time,0,12-Dec-2022 09:33:34,,
fixation,6,7,1,1,1,NaN,65,64.0135651,time,0,12-Dec-2022 09:33:37,,
task,6,7,1,1,3,NaN,65.8665073,65.0122028,keytrigger,0,12-Dec-2022 09:33:38,,
response,6,7,1,1,3,NaN,68.8665073,65.8676778,time,0,12-Dec-2022 09:33:38,,
buffer,6,7,1,1,1,NaN,72,68.8786216,time,0,12-Dec-2022 09:33:41,,
fixation,7,3,1,1,1,NaN,73,72.0125722,time,0,12-Dec-2022 09:33:45,,
cue,7,3,1,1,3,NaN,76,73.0128106,time,0,12-Dec-2022 09:33:46,,
fixation,7,3,1,1,1,NaN,77,76.0129346,time,0,12-Dec-2022 09:33:49,,
task,7,3,1,1,3,NaN,78.9462467,77.0124314,keytrigger,0,12-Dec-2022 09:33:50,,
response,7,3,1,1,3,NaN,81.9462467,78.9462948,time,0,12-Dec-2022 09:33:51,,
buffer,7,3,1,1,1,NaN,84,81.9617749,time,0,12-Dec-2022 09:33:54,,
fixation,8,10,1,1,1,NaN,85,84.0122587,time,0,12-Dec-2022 09:33:57,,
cue,8,10,1,1,3,NaN,88,85.0109071,time,0,12-Dec-2022 09:33:58,,
fixation,8,10,1,1,1,NaN,89,88.0119985,time,0,12-Dec-2022 09:34:01,,
task,8,10,1,1,3,NaN,90.1610178,89.0120772,keytrigger,0,12-Dec-2022 09:34:02,,
response,8,10,1,1,3,NaN,93.1610178,90.1610405,time,0,12-Dec-2022 09:34:03,,
buffer,8,10,1,1,1,NaN,96,93.1610566,time,0,12-Dec-2022 09:34:06,,
fixation,9,6,1,1,1,NaN,97,96.0118561,time,0,12-Dec-2022 09:34:09,,
cue,9,6,1,1,3,NaN,100,97.0117369,time,0,12-Dec-2022 09:34:10,,
fixation,9,6,1,1,1,NaN,101,100.0112254,time,0,12-Dec-2022 09:34:13,,
task,9,6,1,1,3,NaN,101.9269978,101.0114051,keytrigger,0,12-Dec-2022 09:34:14,,
response,9,6,1,1,3,NaN,104.9269978,101.9270213,time,0,12-Dec-2022 09:34:14,,
buffer,9,6,1,1,1,NaN,108,104.9280123,time,0,12-Dec-2022 09:34:17,,
fixation,10,1,1,1,1,NaN,109,108.0111323,time,0,12-Dec-2022 09:34:21,,
cue,10,1,1,1,3,NaN,112,109.0106477,time,0,12-Dec-2022 09:34:22,,
fixation,10,1,1,1,1,NaN,113,112.0108031,time,0,12-Dec-2022 09:34:25,,
task,10,1,1,1,3,NaN,115.3785583,113.0094595,keytrigger,0,12-Dec-2022 09:34:26,,
response,10,1,1,1,3,NaN,118.3785583,115.3785981,time,0,12-Dec-2022 09:34:28,,
buffer,10,1,1,1,1,NaN,120,118.3930679,time,0,12-Dec-2022 09:34:31,,
wait,0,1,intro,NaN,1,NaN,NaN,120.0094171,time,0,12-Dec-2022 09:34:33,,
final,0,1,intro,NaN,2,NaN,NaN,121.0105142,time,0,12-Dec-2022 09:34:34,,
